ID	LogFC	Pvalue	Symbol
45	O00429	-0.247329836669298	0.0498276189349788	DNM1L
46	P50570	0.0331633982167978	0.826003508137706	DNM2
47	Q9UQ16	-0.217240443091649	0.084037285102685	DNM3
48	P42658	-0.345466058404675	0.0465006129326583	DPP6
49	O14576	-0.0312150182770944	0.834520946121829	DYNC1I1
50	Q9H4G0	-0.177174727594527	0.0277841529524709	EPB41L1
51	A0A0A0MRA8	-0.583271408574459	0.000640422049904652	EPB41L3
52	Q9Y6I3	-0.184933489453463	0.37127350541444	EPN1
53	Q96KP1	-0.189427256339105	0.30183970423292	EXOC2
54	O60645	-0.299977304858989	0.215831520008207	EXOC3
55	A0A0A0MT35	0.0421537237597967	0.677112295202322	PRXL2B
56	Q9NUQ9	-0.313350348566674	0.0562764160264277	FAM49B
57	Q9UJ14	-0.280771590575889	0.382709794799089	GGT7
58	Q9Y2X7	-0.210506552269918	0.295833818400464	GIT1
59	P36915	-0.137370882148078	0.123060667212547	GNL1
60	P42262	-0.445764283509121	0.0349534625596539	GRIA2
61	A0A087WYJ6	-0.708721196565677	0.00190274012638252	GRIA3
62	O75367	0.361681608522649	0.0307896911856696	H2AFY
63	O14964	-0.216369115556992	0.200851745768889	HGS
64	P19367	-0.129424262704119	0.208218602667048	HK1
65	O95757	-0.246850397082469	0.0477430498185579	HSPA4L
66	Q969P0	-0.141896158264439	0.176121333323741	IGSF8
67	E9PRP3	-0.608496306580946	0.0597988939616447	IGSF9B
68	Q12906	0.154969205183109	0.430575384478023	ILF3
69	Q16891	-0.122628116440213	0.228207379787385	IMMT
70	A0A087WWK8	-0.20309514092339	0.0658636110440694	IQSEC1
71	O00139	0.0716095689336771	0.360367540331573	KIF2A
72	O60282	-0.0705032366406892	0.59172695801706	KIF5C
73	E7EVH7	-0.236685112660115	0.155764538988563	E7EVH7
74	Q14974	0.179443696729615	0.167497481077928	KPNB1
75	O95202	-0.225777232312832	0.0773476874133431	LETM1
76	K7EJE8	0.0300861588308278	0.793563828440102	LONP1
77	Q9H9A6	0.0814410344679532	0.553370856978649	LRRC40
78	Q9HCC0	0.199082360327996	0.419826840784643	MCCC2
79	Q99685	-0.566163360790484	0.00257283750769804	MGLL
80	E9PHY8	-0.276599884482351	0.335221783969792	MROH1
81	Q9Y2A7	-0.159312699073101	0.293643437436343	NCKAP1
82	Q7Z6G3	-0.481638378870943	0.11024444930656	NECAB2
83	Q8NFZ4	0.0422801349413683	0.885056104291761	NLGN2
84	I3L0N3	-0.139471032606887	0.173597741608399	NSF
85	P49902	-0.55214492677826	0.01704926510929	NT5C2
86	Q02218	-0.351765060545736	0.0148918519278387	OGDH
87	O15294	-0.0774896360592055	0.534485778372388	OGT
88	Q9UHG3	0.432355809431117	0.0466411153576901	PCYOX1
89	Q8WUM4	0.0962893271776704	0.507366278273381	PDCD6IP
90	B4DK72	-0.0664003479455741	0.95605194879554	PDE1B
91	O00408	-0.295311729710598	0.169449950079032	PDE2A
92	Q01813	-0.250402180985677	0.0549196630668815	PFKP
93	O60331	-0.450957633864715	0.0128403789243513	PIP5K1C
94	P30153	-0.112098161885741	0.165717781629625	PPP2R1A
95	P63151	-0.219170611292339	0.367815746371162	PPP2R2A
96	E9PFR3	-0.169249002948161	0.159282573155603	PPP2R5D
97	Q16537	-0.312383393419176	0.0456121292104836	PPP2R5E
98	Q02156	-0.471037372370611	0.0114261520235583	PRKCE
99	P05129	-0.57422035180877	0.0418658606528185	PRKCG
100	P26599	1.33561836574227	0.00294355327843053	PTBP1
101	Q5QPL9	0.561742537651246	0.0590305490900832	RALY
102	E9PGC0	-0.442252193356733	0.327904811780766	RASA1
103	Q8IXI2	-0.119575641840485	0.361608166760773	RHOT1
104	Q96TC7	0.344532578640903	0.0499531902448509	RMDN3
105	M0QWZ7	-0.151001630357675	0.525986923791658	SARS2
106	P78324	0.0325390437670034	0.783375960081738	SIRPA
107	O75746	-0.217867635081036	0.0195794991641672	SLC25A12
108	Q9UJS0	-0.0102712263805647	0.879211055402403	SLC25A13
109	E9PDG8	-0.274475432052741	0.146039993679466	SNAP91
110	Q5VWJ9	-0.712446615741611	0.0204555517938023	SNX30
111	E9PJP2	-0.284214902366454	0.0533147013605288	SOGA3
112	Q8N0X7	-0.0165574875863723	0.909043375117544	SPART
113	P61764	-0.258315713654147	0.0467915607933134	STXBP1
114	Q8TBG9	-0.14901475171369	0.319552865250068	SYNPR
115	P21579	-0.259278291376953	0.0901106923214004	SYT1
116	O00445	-0.327670990713933	0.0462267951629561	SYT5
117	Q9HA65	0.0326119982746919	0.77900291678876	TBC1D17
118	Q9Y5L0	-0.105972825684133	0.78179959916895	TNPO3
119	O60784	-0.0437787557563615	0.737714047458071	TOM1
120	Q6ZVM7	-0.228037255065748	0.0930546137154216	TOM1L2
121	O94826	-0.322939640533641	0.0272231243026392	TOMM70
122	O14773	0.0832855309839226	0.622609368422944	TPP1
123	Q5T0D9	-0.186454535331708	0.337451575786893	TPRG1L
124	Q12931	-0.169127998968429	0.272636423331347	TRAP1
125	Q9NYU2	-0.231702760394296	0.373363032197772	UGGT1
126	P45974	-0.107029939835233	0.390419093724411	USP5
127	Q96QK1	-0.0966230969864981	0.384732467051675	VPS35
128	Q9UID3	-0.750620825047003	0.0325003912988958	VPS51
129	Q92558	-0.434972867442781	0.0152268202237498	WASF1
